149,2733,1,5000,48,6,25,0,6500,3874.94,129.17,1,1/1/2015 0:00,1/1/2015 0:00
150,2743,1,7000,60,6,30,65.7,9100,8389.6,142.08,1,1/1/2015 0:00,1/1/2015 0:00
151,2847,1,3000,48,6,15,0,3720,1937.5,77.5,1,1/1/2015 0:00,1/1/2015 0:00
155,3126,1,3000,12,6,15,0,3180,795.04,265,1,1/1/2015 0:00,1/1/2015 0:00
161,3276,1,3000,36,6,15,0,3540,491.77,98.33,1,1/1/2015 0:00,1/1/2015 0:00
162,3278,1,5000,60,6,25,46.93,6500,6113.32,109.17,1,1/1/2015 0:00,1/1/2015 0:00
163,3432,1,3000,36,6,15,0,3540,3390.56,99.72,1,1/1/2015 0:00,1/1/2015 0:00
164,3491,1,5500,60,6,27.5,0,7150,7080,70,1,1/1/2015 0:00,1/1/2015 0:00
171,1546,1,7000,36,6,35,0,8260,5166.76,258.33,1,1/1/2015 0:00,1/1/2015 0:00
174,1734,1,7000,48,6,35,0,8680,1446.8,180.83,1,1/1/2015 0:00,1/1/2015 0:00
175,1762,1,7000,48,6,35,0,8680,5244.23,180.83,1,1/1/2015 0:00,1/1/2015 0:00
180,2339,1,7000,48,6,35,0,8680,1774.54,180.83,1,1/1/2015 0:00,1/1/2015 0:00
183,2702,1,7000,48,6,35,0,8680,1284.05,180.83,1,1/1/2015 0:00,1/1/2015 0:00
184,2405,1,10000,60,6,50,0,13000,12615,217.5,1,1/1/2015 0:00,1/1/2015 0:00
185,2708,1,6000,48,6,30,0,7440,5116.2,155,1,1/1/2015 0:00,1/1/2015 0:00
187,3265,1,4000,24,6,20,0,4480,1493.28,186.67,1,1/1/2015 0:00,1/1/2015 0:00
188,3266,1,3500,48,6,17.5,0,4340,3815.8,90.42,1,1/1/2015 0:00,1/1/2015 0:00
189,3268,1,3000,48,6, -   ,0,3540,1742,0,1,1/1/2015 0:00,1/1/2015 0:00
190,3284,1,1000,10,6,5,0,1050,940,110,1,1/1/2015 0:00,1/1/2015 0:00
191,3490,1,3000,48,6,15,0,3720,3612.92,78.54,1,1/1/2015 0:00,1/1/2015 0:00
195,1522,1,6000,48,6,30,0,7440,1085,155,1,1/1/2015 0:00,1/1/2015 0:00
196,1631,1,6000,48,6,30,0,7440,5735,155,1,1/1/2015 0:00,1/1/2015 0:00
197,1721,1,7000,48,6,35,0,8680,3797.75,180.83,1,1/1/2015 0:00,1/1/2015 0:00
198,1863,1,7000,48,6,35,0,8680,5244.23,180.83,1,1/1/2015 0:00,1/1/2015 0:00
201,2676,1,0, -   ,6, -   ,0,0,79,0,1,1/1/2015 0:00,1/1/2015 0:00
202,2683,1,6500,48,6,32.5,0,8060,6044.93,167.92,1,1/1/2015 0:00,1/1/2015 0:00
205,3168,1,2500,12,6,12.5,0,2650,2250,225,1,1/1/2015 0:00,1/1/2015 0:00
206,3247,1,2400,24,6,12,0,2688,2623.92,64.08,1,1/1/2015 0:00,1/1/2015 0:00
214,1581,1,7000,48,6,35,0,8680,4520.91,180.83,1,1/1/2015 0:00,1/1/2015 0:00
215,1642,1,18000,30,6,90,0,20700,4140,690,1,1/1/2015 0:00,1/1/2015 0:00
216,1964,1,10000,60,6,50,556.14,13000,11745,217.5,1,1/1/2015 0:00,1/1/2015 0:00
217,2632,1,7000,12,6,35,76.28,7420,6225,622.5,1,1/1/2015 0:00,1/1/2015 0:00
219,2634,1,7000,12,6,35,0,7420,618.29,618.33,1,1/1/2015 0:00,1/1/2015 0:00
220,2635,1,10000,48,6,50,147.31,12400,10893.78,259.37,1,1/1/2015 0:00,1/1/2015 0:00
221,2636,1,10000,60,6,50,192.27,13000,12615,217.5,1,1/1/2015 0:00,1/1/2015 0:00
223,2638,1,6500,48,6,32.5,0,8060,4365.76,167.92,1,1/1/2015 0:00,1/1/2015 0:00
224,2640,1,6500,48,6,32.5,0,8060,5909.1,167.92,1,1/1/2015 0:00,1/1/2015 0:00
225,2641,1,5000,24,6,25,0,5600,13.16,233.33,1,1/1/2015 0:00,1/1/2015 0:00
226,2642,1,6000,48,6,30,0,7440,5735,155,1,1/1/2015 0:00,1/1/2015 0:00
227,2643,1,6000,48,6,30,0,7440,2015.08,155,1,1/1/2015 0:00,1/1/2015 0:00
230,2785,1,10000,24,6,50,83.22,11200,8906.25,468.75,1,1/1/2015 0:00,1/1/2015 0:00
231,2795,1,7000,36,6,35,0,8260,1884.76,229.44,1,1/1/2015 0:00,1/1/2015 0:00
232,2797,1,4000,36,6,20,0,4720,4107.5,132.5,1,1/1/2015 0:00,1/1/2015 0:00
233,2807,1,4500,24,6,22.5,0,5040,1050,210,1,1/1/2015 0:00,1/1/2015 0:00
236,3349,1,5000, -   ,6, -   ,0,6200,3358.34,0,1,1/1/2015 0:00,1/1/2015 0:00
240,1955,1,11000,60,6, -   ,0,14300,14300,0,1,1/1/2015 0:00,1/1/2015 0:00
241,1978,1,10000,60,6,50,556.14,13000,12832.5,167.5,1,1/1/2015 0:00,1/1/2015 0:00
243,3034,1,4000,48,6,20,0,4960,3714.04,103.33,1,1/1/2015 0:00,1/1/2015 0:00
244,3089,1,4000,48,6,20,0,4960,852.03,103.33,1,1/1/2015 0:00,1/1/2015 0:00
